rocket_class,ascent_twr,descent_velocity,current_altitude,inferred_mass,inferred_drag_coeff,wind_speed,baseline_ignition_altitude,fault_type,TARGET_correction
Medium,35.64318885259093,-38.23830938447362,890.2420449759164,2.7063192143944765,0.5885916011248346,2.671306318899946,24,mass_loss,2
Heavy,17.545816239420578,-55.555767488383694,923.9644583607081,32.210157289074886,0.5003351203318646,7.406831343305197,29,thrust_var,0
Heavy,15.36930430803709,-56.274067967117624,918.3428815197195,30.45940556335799,0.5217177412882781,8.648028080766506,29,thrust_var,0
Heavy,14.731042838381892,-56.20668552062626,918.3691947317309,35.548422184346805,0.5339881797524597,8.075789380770734,29,mass_loss,0
Heavy,15.841852348164764,-56.19104559024756,920.5293332022263,29.810438137539872,0.5154349026439479,9.280036898338048,29,thrust_var,0
Heavy,16.03440469494985,-55.7812492888627,920.5141401709808,34.616146859535036,0.4509747598722137,5.1817240401534885,29,mass_loss,-2
Heavy,15.777183797725293,-56.128888416856064,919.2887352975795,34.30056188676012,0.5000320496933984,6.89352009624929,29,mass_loss,-4
Heavy,17.10554962249201,-55.33689485808876,917.8672958596734,36.11636758026293,0.4810576205080045,14.570185608406216,29,wind_gust,-5
Heavy,14.253287917083654,-55.630399983135206,917.6822759556013,34.6265390953332,0.4583545367529079,4.7030727355256055,29,mass_loss,-5
Heavy,16.681489282059154,-56.14846780976963,919.2816485148068,28.68538375699648,0.590181376870185,7.538969254925364,29,thrust_var,0
Heavy,16.42874417018459,-56.65687565285425,918.4278208863477,34.96593014265751,0.417343739795398,12.428150843917749,29,mass_loss,-4
Large,18.25490327510287,-28.859475490973537,1172.1766694642743,11.203214492461091,0.676062535802583,13.75928742680229,110,thrust_var,20
Large,19.26264857596287,-29.385407832415282,1168.1468553111372,13.027126443600672,0.7297792255443577,31.651891916111406,110,wind_gust,30
Large,17.100857028428514,-29.80595731172211,1171.7563612701526,12.647198083141804,0.5889964817465241,18.41522155337188,110,wind_gust,-1
Large,19.48665476620229,-29.22594228831807,1169.1036555083701,12.607581631921132,0.659828656602485,21.6462931184249,110,wind_gust,30
Large,18.8925099794555,-28.664570849307733,1166.8503554295328,12.748170982359529,0.6763675172521577,10.30904722024526,110,mass_loss,17
Large,18.310996653029896,-29.032996072047542,1168.7384342509163,11.008023136483896,0.65306258441515,10.026255746958242,110,thrust_var,13
Large,19.737187219278912,-29.066232414321973,1170.432125612363,12.680890845169289,0.6338604399870769,10.48186958511598,110,thrust_var,10
Large,18.117209146595084,-29.709657213983633,1165.0242429974555,13.713705172103822,0.6611261870859244,10.63948877112738,110,drag_change,31
Large,18.528853654007012,-29.402431827971082,1166.6744270942563,13.673649935700837,0.5239317740707908,12.69208587942169,110,drag_change,17
Large,20.287702426630524,-28.97581128062407,1170.1005248738438,14.122260537390076,0.731866649502689,10.561500767471122,110,mass_loss,23
Micro,19.016424781381993,-61.92690922821624,880.7593315113612,0.4545333871872982,0.6040519201367588,4.42315924586957,43,drag_change,2
Micro,18.275981934532656,-61.030049129903794,882.9058528529965,0.44632971835865703,0.5742141105799441,15.114290569019683,43,wind_gust,2
Micro,20.364755487654314,-60.01179516230327,880.0279107259537,0.44286654546678017,0.7061483845804287,4.798275840758912,43,mass_loss,-3
Micro,18.394876793139225,-61.73451024437945,877.9316729110758,0.39186343773825316,0.6189141304822163,3.8801115003993494,43,drag_change,0
Micro,18.451539694502852,-61.53025140927356,876.6769289572442,0.40133600322292157,0.6541053705834884,12.42064226076732,43,wind_gust,2
Micro,20.273626392926005,-60.321291888034544,883.6890509975666,0.4641371209487702,0.7190013834254934,10.36052831030697,43,wind_gust,2
Micro,19.84839678227096,-62.034830612650495,880.476229318113,0.41980343768030537,0.6882959567089069,7.559142778959798,43,wind_gust,2
Micro,18.415951930200773,-61.76735955927994,877.8795226357063,0.4347327403969542,0.6835209178849672,12.074731419608076,43,wind_gust,2
Micro,17.968610692065468,-60.7960106902277,880.4774231816283,0.4140198203775018,0.5656158293560599,19.669858933710593,43,wind_gust,-3
Micro,18.47203210900454,-60.77996402226201,883.3352164561629,0.4714657846999483,0.6203276158577917,12.112008973526379,43,wind_gust,2
Small,23.48858244956825,-52.54984508115989,762.6354911947367,0.9844705733886493,0.5903424512362284,24.7892301827385,31,wind_gust,-1
Small,21.34126213670565,-52.33045538258818,765.6125757075835,0.9286099064349386,0.6514553433295097,31.068630644643772,31,wind_gust,2
Small,21.116723512068234,-52.328306721995546,764.0432038908393,0.9075262170185874,0.5402086070094126,21.43154526505671,31,wind_gust,4
Small,22.06810418639467,-51.476350224553606,766.1594978060389,0.9437961581127822,0.6913941844568597,22.79920747458627,31,wind_gust,2
Small,22.548449079885913,-52.94844166445138,764.4270311797935,0.8966778553082843,0.6864077427199906,11.667446133175101,31,mass_loss,-1
Small,21.028600290857458,-51.50663528455774,764.3677041763683,0.9335245455349382,0.8711610011625982,11.809024860619086,31,drag_change,-1
Small,21.366708168752027,-52.24513919607844,764.5988794297913,1.0490508313144453,0.650398212098704,10.080695258453343,31,mass_loss,-1
